Time, Latitude, Longitude, Azimuth, Distance
04-Jan-2017 06:31:35, 54.1983, -167.9213, 13.3, 30.7
04-Jan-2017 06:30:28, 54.1209, -167.9236, 18.1, 22.3
04-Jan-2017 06:28:38, 54.0685, -168.0078, 5.4, 15.5
04-Jan-2017 06:28:38, 54.1449, -167.9513, 12.1, 24.4
04-Jan-2017 06:27:40, 53.9911, -168.0405, -5.8, 6.8
04-Jan-2017 06:27:40, 54.0185, -167.9943, 13.3, 10.1
04-Jan-2017 06:27:33, 54.0818, -167.9350, 20.2, 18.0
04-Jan-2017 06:27:08, 54.0015, -168.0290, 0.5, 8.0
04-Jan-2017 06:27:03, 53.9704, -168.0639, -26.3, 5.0
04-Jan-2017 06:26:44, 53.9114, -168.1292, -107.6, 6.8
04-Jan-2017 06:26:06, 54.0030, -167.9738, 24.3, 8.9
04-Jan-2017 06:25:34, 53.9676, -168.0337, -3.3, 4.2
04-Jan-2017 06:24:17, 53.9760, -168.0717, -28.1, 5.8
