Time, Latitude, Longitude, Azimuth, Distance
30-Oct-2016 18:20:04, 55.2463, -163.1030, -103.6, 79.3
30-Oct-2016 18:20:04, 55.1579, -163.1114, -110.1, 82.8
30-Oct-2016 18:14:44, 54.7142, -162.6575, -147.7, 92.6
22-Sep-2016 02:59:14, 55.4670, -160.6016, 85.8, 81.2
22-Sep-2016 02:59:14, 55.4679, -160.6495, 85.6, 78.2
21-Aug-2016 15:17:39, 55.4710, -160.7034, 85.2, 74.9
28-Mar-2016 19:13:57, 55.4953, -161.9343, -19.6, 8.9
28-Mar-2016 18:23:17, 55.5080, -161.8797, 2.7, 9.8
28-Mar-2016 18:23:17, 55.4079, -161.9568, -107.0, 4.6
28-Mar-2016 18:15:19, 55.4558, -161.9838, -56.9, 7.3
28-Mar-2016 18:15:18, 55.4574, -161.9379, -37.6, 5.3
28-Mar-2016 18:11:49, 55.4675, -161.9409, -32.7, 6.3
28-Mar-2016 17:56:17, 55.4561, -161.9461, -42.9, 5.5
28-Mar-2016 17:51:02, 55.4326, -161.9771, -76.1, 5.9
28-Mar-2016 17:36:26, 55.4730, -161.9356, -27.5, 6.6
28-Mar-2016 17:36:26, 55.4814, -161.8662, 10.9, 7.0
28-Mar-2016 17:29:17, 55.5474, -161.8659, 5.4, 14.2
28-Mar-2016 17:22:07, 55.5513, -162.1338, -46.7, 21.3
28-Mar-2016 17:19:03, 55.5340, -161.8596, 7.7, 12.8
28-Mar-2016 17:07:44, 55.4056, -161.9589, -109.4, 4.8
28-Mar-2016 14:09:12, 55.4781, -161.8450, 22.3, 7.0
28-Mar-2016 13:10:13, 55.4766, -161.9257, -21.2, 6.8
01-Mar-2016 23:00:39, 55.5310, -161.1826, 74.2, 46.1
01-Mar-2016 23:00:39, 55.5429, -161.1682, 72.9, 47.3
18-Feb-2016 06:36:19, 54.9787, -163.1188, -121.6, 92.3
18-Feb-2016 06:31:41, 54.9510, -163.2253, -121.0, 99.7
18-Feb-2016 05:26:08, 55.3471, -162.1857, -113.1, 20.5
18-Feb-2016 05:19:22, 55.4909, -162.1267, -62.4, 17.0
18-Feb-2016 04:49:14, 55.1797, -162.3876, -129.9, 41.5
18-Feb-2016 04:17:56, 55.4659, -162.2854, -78.4, 25.6
18-Feb-2016 04:08:01, 55.5076, -162.0976, -53.6, 16.5
18-Feb-2016 03:29:07, 55.0698, -162.3701, -141.6, 49.5
18-Feb-2016 03:01:57, 54.9921, -162.8536, -127.4, 77.6
18-Feb-2016 02:56:47, 55.0446, -162.9134, -122.3, 77.3
29-Jan-2016 01:01:21, 55.5836, -160.9632, 72.3, 61.0
29-Jan-2016 01:01:21, 55.5751, -160.9240, 73.7, 63.1
30-Dec-2015 20:28:53, 55.6422, -161.1069, 63.0, 55.0
29-Dec-2015 05:43:05, 55.0752, -162.7531, -124.6, 67.0
29-Dec-2015 05:38:22, 55.0071, -162.7514, -129.6, 71.5
29-Dec-2015 05:37:08, 55.0361, -162.7620, -127.2, 70.0
29-Dec-2015 04:50:46, 55.4040, -163.0426, -90.9, 73.0
29-Dec-2015 04:50:46, 55.4044, -163.0021, -91.0, 70.4
23-Dec-2015 11:05:09, 55.5370, -162.1229, -48.7, 19.8
23-Dec-2015 09:42:55, 55.7559, -162.2861, -33.7, 45.0
23-Dec-2015 09:42:55, 55.6713, -162.1091, -26.5, 31.2
23-Dec-2015 09:33:57, 55.5973, -162.3527, -55.9, 35.3
23-Dec-2015 09:33:57, 55.5922, -162.3521, -56.6, 35.0
23-Dec-2015 09:33:57, 55.6101, -162.2788, -49.2, 32.5
18-Dec-2015 23:11:46, 56.2307, -161.8463, 1.6, 90.2
18-Dec-2015 22:35:51, 55.1831, -162.2956, -135.4, 36.9
18-Dec-2015 22:34:46, 55.1485, -162.4242, -131.4, 45.5
15-Dec-2015 07:36:31, 55.5245, -161.4184, 68.3, 31.7
15-Dec-2015 07:34:28, 55.5147, -161.5829, 61.1, 21.9
15-Dec-2015 07:34:28, 55.4520, -161.5100, 81.3, 24.0
15-Dec-2015 07:33:00, 55.4964, -161.3960, 74.5, 32.1
15-Dec-2015 07:33:00, 55.1940, -161.0406, 114.8, 59.2
15-Dec-2015 07:33:00, 55.1700, -161.1960, 122.1, 51.8
15-Dec-2015 07:30:05, 55.3998, -161.7438, 103.9, 9.3
15-Dec-2015 06:37:24, 55.0885, -162.6218, -128.1, 59.4
15-Dec-2015 06:37:24, 55.0770, -162.5600, -131.5, 57.2
15-Dec-2015 06:37:24, 55.1756, -162.6119, -120.3, 53.3
15-Dec-2015 06:37:24, 55.0629, -162.5730, -132.1, 58.9
15-Dec-2015 06:34:52, 55.1453, -162.4876, -128.5, 48.8
15-Dec-2015 06:34:52, 54.9141, -162.5605, -142.5, 70.7
15-Dec-2015 06:30:51, 54.7135, -162.2686, -162.7, 82.2
15-Dec-2015 06:30:51, 55.1357, -162.2073, -147.2, 37.6
15-Dec-2015 06:30:51, 54.9252, -162.5314, -143.1, 68.6
15-Dec-2015 06:22:31, 54.9306, -162.6900, -136.5, 74.6
13-Dec-2015 19:29:24, 55.4942, -160.3591, 84.5, 96.7
13-Dec-2015 19:29:24, 55.5263, -160.3468, 82.4, 97.8
15-Nov-2015 01:03:24, 55.5401, -162.4298, -68.4, 36.7
10-Nov-2015 06:39:20, 55.5031, -162.2385, -67.2, 24.0
10-Nov-2015 06:05:30, 56.1003, -160.8644, 39.8, 99.1
10-Nov-2015 06:00:56, 56.1226, -160.9757, 35.7, 96.7
10-Nov-2015 05:46:37, 55.1261, -162.8389, -118.1, 68.6
10-Nov-2015 05:45:07, 55.1353, -162.8593, -116.8, 69.2
10-Nov-2015 05:21:44, 55.7985, -161.7389, 12.4, 43.1
10-Nov-2015 05:11:52, 55.6973, -161.9606, -8.5, 31.2
10-Nov-2015 05:11:52, 55.7989, -161.8906, -0.3, 42.1
10-Nov-2015 02:22:04, 55.9352, -163.1263, -53.1, 96.5
09-Nov-2015 23:57:19, 55.2423, -162.2519, -130.4, 30.4
09-Nov-2015 18:39:17, 55.8543, -163.2125, -59.3, 96.2
09-Nov-2015 18:39:17, 55.8613, -163.1554, -57.8, 93.5
09-Nov-2015 18:28:18, 56.0815, -162.3527, -21.4, 79.1
09-Nov-2015 18:22:14, 55.8734, -162.4988, -37.0, 63.4
09-Nov-2015 18:22:14, 55.8702, -162.5222, -38.3, 64.0
09-Nov-2015 18:22:14, 55.8422, -162.5643, -41.9, 63.3
09-Nov-2015 18:22:14, 56.1711, -162.4712, -23.4, 91.2
09-Nov-2015 18:22:14, 56.1088, -162.4489, -24.4, 84.3
09-Nov-2015 18:18:21, 56.0217, -162.2199, -17.2, 70.1
09-Nov-2015 18:13:39, 55.9174, -162.5504, -36.7, 69.2
09-Nov-2015 18:13:39, 56.0914, -162.5104, -27.3, 84.2
09-Nov-2015 15:41:52, 55.6245, -162.0310, -21.7, 24.5
09-Nov-2015 15:41:52, 55.9298, -161.5969, 17.7, 59.5
09-Nov-2015 15:37:05, 55.9123, -161.7911, 6.2, 55.1
09-Nov-2015 15:37:05, 55.9177, -161.6534, 14.7, 57.2
09-Nov-2015 12:04:57, 55.5685, -162.4697, -65.5, 40.2
20-Apr-2015 17:23:26, 55.6490, -160.5190, 73.0, 89.8
20-Apr-2015 14:59:39, 55.1646, -162.0298, -162.3, 29.8
20-Apr-2015 14:55:08, 55.1095, -162.1718, -152.3, 39.0
02-Dec-2014 16:34:06, 54.9578, -160.6251, 122.2, 95.2
02-Dec-2014 16:34:06, 55.0077, -161.2173, 136.9, 62.5
02-Dec-2014 15:45:23, 55.5468, -160.5906, 79.7, 82.9
02-Dec-2014 15:45:23, 55.5394, -160.6123, 80.1, 81.4
02-Dec-2014 14:55:49, 55.1469, -160.4824, 108.3, 94.0
02-Dec-2014 14:55:49, 55.0309, -160.4760, 115.2, 99.4
02-Dec-2014 14:55:49, 55.1571, -160.4758, 107.5, 94.0
02-Dec-2014 14:55:49, 55.0753, -160.5038, 113.0, 95.7
02-Dec-2014 14:52:22, 55.0707, -160.6102, 115.1, 89.8
02-Dec-2014 14:48:26, 55.1723, -160.5542, 107.5, 88.8
02-Dec-2014 14:34:02, 54.8863, -163.1300, -126.4, 98.8
02-Dec-2014 14:06:54, 55.0597, -160.4933, 113.8, 97.0
02-Dec-2014 14:06:54, 54.9706, -160.5776, 120.5, 97.0
19-Nov-2014 14:09:36, 55.4010, -162.0758, -100.0, 12.1
15-Nov-2014 20:46:54, 55.5017, -162.0538, -49.1, 13.9
12-Nov-2014 07:37:12, 55.4379, -161.4694, 85.5, 26.4
12-Nov-2014 07:37:12, 55.4188, -161.4847, 90.1, 25.4
01-Nov-2014 05:06:44, 54.9381, -160.7561, 126.3, 89.6
01-Nov-2014 05:06:44, 54.9085, -160.8048, 129.2, 89.2
25-Aug-2014 03:05:25, 55.7339, -161.1638, 52.2, 57.3
25-Aug-2014 03:04:16, 55.7412, -161.1184, 53.2, 60.1
25-Aug-2014 03:03:23, 55.7388, -161.1009, 54.0, 60.8
25-Aug-2014 03:03:23, 55.7104, -161.1463, 55.0, 56.7
25-Aug-2014 03:03:23, 55.7202, -161.1580, 53.6, 56.7
25-Aug-2014 03:02:15, 55.7138, -161.1475, 54.6, 56.8
25-Aug-2014 03:02:14, 55.7184, -161.1492, 54.1, 57.0
25-Aug-2014 03:02:14, 55.7039, -161.1637, 54.9, 55.4
25-Aug-2014 03:02:14, 55.7435, -161.1326, 52.5, 59.5
25-Aug-2014 03:02:14, 55.7343, -161.1465, 52.8, 58.2
25-Aug-2014 03:02:14, 55.7284, -161.1307, 53.9, 58.6
25-Aug-2014 02:59:02, 55.7212, -161.1626, 53.4, 56.5
25-Aug-2014 02:53:02, 55.8187, -161.3017, 39.4, 57.6
25-Aug-2014 02:53:02, 55.7103, -161.3276, 47.2, 47.7
25-Aug-2014 02:46:03, 55.5997, -161.3139, 60.8, 41.2
14-Aug-2014 12:04:30, 55.7565, -162.3863, -39.8, 48.8
14-Aug-2014 11:55:57, 55.8074, -162.6477, -47.6, 64.3
05-Jun-2014 10:58:22, 55.4489, -162.1068, -76.9, 14.2
05-Jun-2014 10:55:30, 55.4480, -162.1093, -77.4, 14.4
05-Jun-2014 10:18:18, 55.4601, -162.1093, -72.3, 14.7
05-Jun-2014 10:17:58, 55.4320, -162.0708, -83.4, 11.7
05-Jun-2014 10:15:52, 55.4505, -162.1036, -76.0, 14.1
10-May-2014 20:08:34, 55.8308, -162.0704, -14.1, 47.1
