Time, Latitude, Longitude, Azimuth, Distance
30-Oct-2016 18:20:04, 55.2463, -163.1030, -103.6, 79.3
30-Oct-2016 18:20:04, 55.1579, -163.1114, -110.1, 82.8
30-Oct-2016 18:14:44, 54.7142, -162.6575, -147.7, 92.6
22-Sep-2016 02:59:14, 55.4670, -160.6016, 85.8, 81.2
22-Sep-2016 02:59:14, 55.4679, -160.6495, 85.6, 78.2
21-Aug-2016 15:17:39, 55.4710, -160.7034, 85.2, 74.9
28-Mar-2016 19:13:57, 55.4953, -161.9343, -19.6, 8.9
28-Mar-2016 18:23:17, 55.5080, -161.8797, 2.7, 9.8
28-Mar-2016 18:23:17, 55.4079, -161.9568, -107.0, 4.6
28-Mar-2016 18:15:19, 55.4558, -161.9838, -56.9, 7.3
28-Mar-2016 18:15:18, 55.4574, -161.9379, -37.6, 5.3
28-Mar-2016 18:11:49, 55.4675, -161.9409, -32.7, 6.3
28-Mar-2016 17:56:17, 55.4561, -161.9461, -42.9, 5.5
28-Mar-2016 17:51:02, 55.4326, -161.9771, -76.1, 5.9
28-Mar-2016 17:36:26, 55.4730, -161.9356, -27.5, 6.6
28-Mar-2016 17:36:26, 55.4814, -161.8662, 10.9, 7.0
28-Mar-2016 17:29:17, 55.5474, -161.8659, 5.4, 14.2
28-Mar-2016 17:22:07, 55.5513, -162.1338, -46.7, 21.3
28-Mar-2016 17:19:03, 55.5340, -161.8596, 7.7, 12.8
28-Mar-2016 17:07:44, 55.4056, -161.9589, -109.4, 4.8
28-Mar-2016 14:09:12, 55.4781, -161.8450, 22.3, 7.0
28-Mar-2016 13:10:13, 55.4766, -161.9257, -21.2, 6.8
01-Mar-2016 23:00:39, 55.5310, -161.1826, 74.2, 46.1
01-Mar-2016 23:00:39, 55.5429, -161.1682, 72.9, 47.3
18-Feb-2016 06:36:19, 54.9787, -163.1188, -121.6, 92.3
18-Feb-2016 06:31:41, 54.9510, -163.2253, -121.0, 99.7
18-Feb-2016 05:26:08, 55.3471, -162.1857, -113.1, 20.5
18-Feb-2016 05:19:22, 55.4909, -162.1267, -62.4, 17.0
18-Feb-2016 04:49:14, 55.1797, -162.3876, -129.9, 41.5
18-Feb-2016 04:17:56, 55.4659, -162.2854, -78.4, 25.6
18-Feb-2016 04:08:01, 55.5076, -162.0976, -53.6, 16.5
18-Feb-2016 03:29:07, 55.0698, -162.3701, -141.6, 49.5
18-Feb-2016 03:01:57, 54.9921, -162.8536, -127.4, 77.6
18-Feb-2016 02:56:47, 55.0446, -162.9134, -122.3, 77.3
29-Jan-2016 01:01:21, 55.5836, -160.9632, 72.3, 61.0
29-Jan-2016 01:01:21, 55.5751, -160.9240, 73.7, 63.1
